assessment_area,risk_category,first_high_year,detail
MISO,high,2028,"Normal 2026 / Elevated 2027 / High from 2028. Resource additions lag escalating demand forecasts and announced retirements; ~18 GW of data-center load projected by 2035."
PJM,high,2029,"Elevated 2026-2028 / High from 2029. Demand growth driven primarily by data centers; anticipated resource margin falls below Reference Margin Level starting 2029."
Texas RE-ERCOT,high,2029,"Elevated 2026-2028 / High from 2029. Rapid load growth outpaces additions in later years; ERCOT granted authority to curtail new large loads in grid emergencies."
WECC-Basin,high,2029,"Elevated 2026-2028 / High from 2029. Load growth and retirements against a predominantly solar-PV addition mix; summer unserved-energy risk."
WECC-Northwest,high,2029,"Normal 2026-2028 / High from 2029. Rapid demand growth; unserved energy projected in both summer and winter."
MRO-SPP,elevated,,"Elevated. Demand forecasts outpace resource additions; low-wind/high-outage scenarios show energy shortfall risk."
NPCC-New England,elevated,,"Elevated. Winter natural-gas infrastructure limitations pose extreme-condition shortfall risk."
NPCC-New York,elevated,,"Elevated. Peaking-generator retirements create localized adequacy needs (NYISO 2025 Q3 STAR report)."
SERC-East,elevated,,"Elevated. Resource additions lag demand forecasts and retirements; shortfall risk in below-normal winter temperatures."
SERC-Central,normal,,"Not among the 13 elevated/high-risk areas in the 2025 LTRA five-year window."
SERC-Southeast,normal,,"Not among the 13 elevated/high-risk areas in the 2025 LTRA five-year window."
SERC-Florida-Peninsula,normal,,"Not among the 13 elevated/high-risk areas in the 2025 LTRA five-year window."
WECC-Southwest,normal,,"Not among the 13 elevated/high-risk areas in the 2025 LTRA five-year window."
WECC-CA/MX,normal,,"Not among the 13 elevated/high-risk areas in the 2025 LTRA five-year window."
WECC-RMRG,normal,,"Not among the 13 elevated/high-risk areas in the 2025 LTRA five-year window."
Alaska,not_assessed,,"Alaska systems are not LTRA assessment areas."
Hawaii,not_assessed,,"Hawaii systems are not LTRA assessment areas."
Puerto Rico,not_assessed,,"Puerto Rico is not an LTRA assessment area."
